1776.6561 782.03136 2242.1564 1.2040638e+08
1775.9097 782.40672 2237.8625 1.2040638e+08
1776.7155 784.83942 2244.3227 1.2040638e+08
1775.5901 779.98738 2237.8827 1.2040638e+08
1780.5376 782.81806 2241.3493 1.2040638e+08
1780.7092 781.56906 2240.9579 1.2040638e+08
1776.2238 783.39816 2242.7171 1.2040638e+08
1883.6426 219.55652 28.087295 1596290
2064.5059 1591.504 1581.2146 85101991
1779.769 777.2575 2241.131 1.2040638e+08
1418.3915 1859.2343 39.962788 2292514
1026.3662 1219.5208 788.6255 42333395
1775.9166 780.59903 2241.9836 1.2040638e+08
1750.9492 2293.3838 2311.4256 1.2423511e+08
1034.0105 1218.377 784.60228 42333395
2064.9947 1188.3588 1804.4496 97118119
842.87346 430.59741 276.95895 14987436
634.42245 2483.6972 1256.544 67893890
2339.1165 1712.379 2421.7576 1.302031e+08
1026.4919 1222.7722 786.02374 42333395
2065.5616 381.50506 1062.3915 57187751
534.37823 2303.3594 1498.9384 80719981
1480.0294 1952.8552 309.78282 16720175
1030.6917 1220.1767 787.27924 42333395
1755.7618 2296.7077 2308.2737 1.2423511e+08
1415.0274 1859.7393 39.228778 2292514
1885.9094 216.77157 26.694431 1596290
284.71878 837.0875 631.2575 33904699
1955.8736 2128.4304 542.08487 29321617
838.94242 428.3494 281.4952 14987436
631.77049 2483.5658 1260.9078 67893890
357.49831 2292.756 1397.9568 75475530
1309.4589 1976.5443 958.87839 51587852
1615.2744 525.79261 751.25321 40425803
360.66678 2290.7185 1397.4902 75475530
288.5382 835.70584 629.26069 33904699
2064.6796 1186.1623 1806.8109 97118119
2181.1604 2244.5594 278.81982 15440319
1400.6305 15.144984 2307.7235 1.2373379e+08
2338.7857 1711.8084 2426.6302 1.302031e+08
1143.6367 2472.6083 2313.3751 1.2451556e+08
2340.6526 1711.8486 2424.2015 1.302031e+08
1884.8811 217.36423 31.34902 1596290
2183.9591 2248.652 283.20951 15440319
1754.5543 1428.8617 75.21625 4344679
2413.0866 1052.4576 1282.7373 69054958
2067.372 1593.2527 1578.9682 85101991
333.67447 1298.7452 1385.7262 74585156
